Date,Ticker_i,Ticker_j,Interaction_J
2021-01-04,BBCA.JK,TLKM.JK,1.2510935154505889
2021-02-02,BBCA.JK,TLKM.JK,1.251466309639043
2021-03-04,BBCA.JK,TLKM.JK,1.2513198127903091
2021-04-06,BBCA.JK,TLKM.JK,1.2509190001576493
2021-05-05,BBCA.JK,TLKM.JK,1.2508180667558244
2021-06-10,BBCA.JK,TLKM.JK,1.2507556149473653
2021-07-09,BBCA.JK,TLKM.JK,1.2503932201327737
2021-08-10,BBCA.JK,TLKM.JK,1.2503588078816432
2021-09-10,BBCA.JK,TLKM.JK,1.2503905273645102
2021-10-11,BBCA.JK,TLKM.JK,1.2503241002429972
2021-11-10,BBCA.JK,TLKM.JK,1.250309315134889
2021-12-09,BBCA.JK,TLKM.JK,1.2504161925520894
2022-01-10,BBCA.JK,TLKM.JK,1.2502163628411236
2022-02-09,BBCA.JK,TLKM.JK,1.2502151833212352
2022-03-14,BBCA.JK,TLKM.JK,1.2501261614011967
2022-04-12,BBCA.JK,TLKM.JK,1.2501061211916562
2022-05-23,BBCA.JK,TLKM.JK,1.250417529709102
2022-06-23,BBCA.JK,TLKM.JK,1.2504707203081058
2022-07-22,BBCA.JK,TLKM.JK,1.2504928577791041
2022-08-23,BBCA.JK,TLKM.JK,1.2504809941177746
2022-09-21,BBCA.JK,TLKM.JK,1.2507058803297884
2022-10-20,BBCA.JK,TLKM.JK,1.2506561578528572
2022-11-18,BBCA.JK,TLKM.JK,1.250383858967355
2022-12-19,BBCA.JK,TLKM.JK,1.250371560665708
2023-01-17,BBCA.JK,TLKM.JK,1.2503888462482196
2023-02-16,BBCA.JK,TLKM.JK,1.2503247650073794
2023-03-17,BBCA.JK,TLKM.JK,1.2504429385421685
2023-04-27,BBCA.JK,TLKM.JK,1.2503626409861375
2023-05-30,BBCA.JK,TLKM.JK,1.2503354474272725
2023-07-05,BBCA.JK,TLKM.JK,1.2502070253459732
2023-08-04,BBCA.JK,TLKM.JK,1.2501790115771796
2023-09-05,BBCA.JK,TLKM.JK,1.2501426844674322
2023-10-05,BBCA.JK,TLKM.JK,1.2501401823095162
2023-11-03,BBCA.JK,TLKM.JK,1.250065500024113
2023-12-04,BBCA.JK,TLKM.JK,1.2500750699497332
