Date,Iteration,Bitstring,Utility,Swap
2021-01-04,0,10,0.18739163060826694,Initial
2021-02-02,0,10,0.11082543279142804,Initial
2021-03-04,0,10,0.07467004167942577,Initial
2021-03-04,1,01,0.16625751371940095,0<->1
2021-04-06,0,10,0.1073670263841643,Initial
2021-04-06,1,01,0.2563156908609774,0<->1
2021-05-05,0,10,0.1248919119402346,Initial
2021-05-05,1,01,0.2167824357380219,0<->1
2021-06-10,0,10,0.04753639680423183,Initial
2021-07-09,0,10,-0.10622475376797244,Initial
2021-07-09,1,01,-0.08550323649990156,0<->1
2021-08-10,0,10,-0.07170152099030248,Initial
2021-08-10,1,01,0.0545933134105869,0<->1
2021-09-10,0,10,-0.002774990034454365,Initial
2021-09-10,1,01,0.06727991185955273,0<->1
2021-10-11,0,10,0.19274544812375663,Initial
2021-11-10,0,10,0.1885614707110458,Initial
2021-11-10,1,01,0.21139755929489024,0<->1
2021-12-09,0,10,0.1280138516002134,Initial
2021-12-09,1,01,0.17638331946849312,0<->1
2022-01-10,0,10,0.255563857751289,Initial
2022-01-10,1,01,0.2947768829337742,0<->1
2022-02-09,0,10,0.21844476739168686,Initial
2022-02-09,1,01,0.28631782936674716,0<->1
2022-03-14,0,10,0.21390329199893113,Initial
2022-03-14,1,01,0.3397998046563655,0<->1
2022-04-12,0,10,0.08895279935394573,Initial
2022-04-12,1,01,0.20081771345028654,0<->1
2022-05-23,0,10,-0.006898867340786848,Initial
2022-05-23,1,01,0.1328499980091963,0<->1
2022-06-23,0,10,0.04341989966112375,Initial
2022-07-22,0,10,-0.0026775711325175925,Initial
2022-07-22,1,01,0.08340320835234755,0<->1
2022-08-23,0,10,0.030431026707289664,Initial
2022-08-23,1,01,0.1294195106824917,0<->1
2022-09-21,0,10,0.08124374364146587,Initial
2022-10-20,0,10,0.06829209737601202,Initial
2022-11-18,0,10,0.1771212497394147,Initial
2022-12-19,0,10,0.14645772401134324,Initial
2023-01-17,0,10,0.11842501581051344,Initial
2023-02-16,0,10,0.1299605475671587,Initial
2023-03-17,0,10,-0.010604131858524997,Initial
2023-04-27,0,10,0.11042836205918254,Initial
2023-05-30,0,10,0.06645701018328919,Initial
2023-07-05,0,10,0.0711687716718185,Initial
2023-07-05,1,01,0.11410635983112427,0<->1
2023-08-04,0,10,0.13095002847380877,Initial
2023-09-05,0,10,0.08271458638243206,Initial
2023-10-05,0,10,0.11831876872703907,Initial
2023-11-03,0,10,-0.02967526539338186,Initial
2023-12-04,0,10,-0.029900854149716577,Initial
2023-12-04,1,01,-0.02674076728007646,0<->1
